product_id,brand_class,colour,gender,type,price_pack
20853,low,black,women,dress,36.0
20854,low,black,women,dress,36.0
20855,low,black,women,dress,36.5
20856,low,black,women,dress,38.5
20857,low,black,women,dress,38.5
20858,low,black,women,top,39.5
20859,low,black,women,dress,43.5
20860,low,red,women,tshirt,7.5
20861,low,red,women,dress,13.5
20862,low,red,women,dress,14.0
20863,low,red,women,dress,15.0
20864,low,red,women,dress,15.5
20865,low,red,women,dress,19.5
20866,low,red,women,dress,24.0
20867,low,red,women,dress,27.5
20868,low,red,women,dress,34.0
20869,low,red,women,dress,36.5
20870,low,pink,women,dress,8.3
20871,low,pink,women,dress,11.5
20872,low,pink,women,dress,16.0
20873,low,pink,women,dress,18.0
20874,low,pink,women,dress,20.0
20875,low,pink,women,dress,20.0
20876,low,pink,women,dress,21.0
20877,low,pink,women,dress,22.5
20878,low,pink,women,dress,24.5
20879,low,pink,women,dress,26.0
20880,low,pink,women,dress,27.0
20881,low,pink,women,dress,27.5
20882,low,pink,women,dress,27.5
20883,low,pink,women,dress,29.5
20884,low,pink,women,dress,34.0
20885,low,pink,women,dress,34.0
20886,low,green,women,dress,8.5
20887,low,green,women,top,9.5
20888,low,green,women,dress,10.19
20889,low,green,women,dress,10.5
20890,low,green,women,top,12.0
20891,low,green,women,dress,13.0
20892,low,green,women,dress,14.0
20893,low,green,women,dress,14.5
20894,low,green,women,dress,15.5
20895,low,green,women,dress,15.67
20896,low,green,women,dress,19.0
20897,low,green,women,dress,22.0
20898,low,green,women,dress,22.5
20899,low,green,women,dress,25.0
20900,low,green,women,dress,26.0
20901,low,green,women,dress,26.0
20902,low,green,women,dress,27.5
20903,low,green,women,dress,29.0
20904,low,green,women,dress,29.5
20905,low,green,women,dress,31.0
20906,low,green,women,dress,34.0
20907,low,green,women,dress,34.0
20908,low,green,women,dress,35.0
20909,low,green,women,dress,36.0
20910,low,yellow,women,dress,21.0
20911,low,blue,women,dress,25.0
20912,low,blue,women,dress,29.5
20913,low,beige,women,dress,19.0
20914,low,brown,women,dress,19.59
20915,low,orange,women,dress,26.5
20916,low,black,women,dress,16.5
20917,low,black,women,dress,17.0
20918,low,black,women,dress,20.0
20919,low,black,women,dress,26.0
20920,low,black,women,dress,34.0
20921,low,pink,women,dress,31.0
20922,low,yellow,women,dress,15.0
20923,low,blue,women,dress,22.0
20924,low,white,women,dress,21.0
20925,low,white,women,dress,23.0
20926,low,white,women,dress,23.99
20927,low,brown,women,dress,12.5
20928,low,brown,women,dress,18.5
20929,low,black,women,dress,9.0
20930,low,black,women,dress,14.0
20931,low,black,women,dress,15.0
20932,low,black,women,dress,16.5
20933,low,black,women,dress,20.0
20934,low,black,women,dress,21.0
20935,low,black,women,dress,29.0
20936,low,red,women,dress,19.0
20937,low,pink,women,dress,18.5
20938,low,pink,women,dress,21.0
20939,low,pink,women,dress,25.5
20940,low,green,women,dress,15.5
20941,low,green,women,dress,20.0
20942,low,green,women,dress,22.0
20943,low,white,men,shirt,14.49
20944,low,white,women,dress,17.0
20945,low,gray,women,tshirt,10.5
20946,low,brown,women,top,9.16
20947,low,brown,women,dress,30.5
20948,low,black,women,sweatshirt,9.0
20949,low,black,women,dress,12.73
20950,low,black,women,dress,13.5
20951,low,black,women,dress,26.0
20952,low,black,women,dress,28.5
20953,low,pink,women,dress,34.0
20954,low,green,women,dress,14.0
20955,low,green,women,dress,24.0
20956,low,green,women,dress,31.0
20957,middle,blue,women,dress,19.19
20958,middle,blue,women,dress,23.5
20959,middle,blue,women,dress,28.0
20960,middle,black,women,dress,16.0
20961,middle,black,women,dress,21.0
20962,middle,black,women,dress,29.5
20963,middle,red,women,dress,20.0
20964,middle,pink,women,dress,34.0
20965,middle,green,women,dress,24.0
20966,middle,gray,women,sweatshirt,15.99
20967,middle,gray,women,tshirt,15.25
20968,middle,brown,women,tshirt,15.25
20969,middle,purple,women,tshirt,15.16
20970,middle,orange,women,tshirt,15.16
20971,middle,red,women,tshirt,15.16
20972,middle,red,women,tshirt,17.47
20973,middle,pink,women,tshirt,15.25
20974,middle,turquoise,women,tshirt,15.16
20975,middle,green,women,tshirt,17.47
20976,middle,blue,women,tshirt,19.5
20977,middle,beige,women,dress,28.5
20978,middle,white,women,tshirt,28.0
20979,middle,multicolor,women,tshirt,26.0
20980,middle,black,women,tshirt,24.5
20981,middle,white,women,shirt,13.78
20982,middle,white,women,shirt,13.78
20983,middle,gold,women,shirt,11.45
20984,middle,red,men,sweater,37.99
20985,middle,green,men,sweater,35.99
20986,middle,green,men,sweater,37.99
20987,middle,white,women,dress,16.99
20988,middle,brown,women,dress,16.99
20989,middle,black,men,tshirt,19.99
20990,middle,green,women,dress,16.99
20991,middle,green,women,dress,16.99
20992,middle,beige,men,sweatshirt,95.32
20993,middle,turquoise,men,sweatshirt,65.46
20994,middle,turquoise,men,sweatshirt,95.32
20995,middle,turquoise,men,sweatshirt,95.32
20996,middle,yellow,women,top,26.0
20997,middle,blue,men,tshirt,28.0
20998,middle,blue,women,tshirt,32.5
20999,middle,blue,women,tshirt,34.0
21000,middle,blue,women,top,41.5
21001,middle,beige,women,tshirt,21.0
21002,middle,beige,women,tshirt,27.0
21003,middle,beige,women,tshirt,31.5
21004,middle,beige,women,tshirt,34.5
21005,middle,beige,women,tshirt,36.0
21006,middle,beige,women,dress,41.25
21007,middle,white,women,tshirt,13.99
21008,middle,white,women,dress,20.99
21009,middle,white,women,tshirt,21.0
21010,middle,white,women,tshirt,21.0
21011,middle,white,women,tshirt,21.0
21012,middle,white,women,tshirt,24.0
21013,middle,white,women,tshirt,26.5
