brand,description,price,colour,colour_simp,colour_simp2
Annorlunda,Vestido corto azul multicolor con detalle de lazada y estampado efecto piel de lagarto luminoso de Annorlunda,"43,00 €",reptil luminoso,,
Annorlunda,Vestido largo azul con estampado multicolor estilo piel de lagarto con detalle de ribetes de malla de Annorlunda,"57,50 €",reptil luminoso,,
Annorlunda,Vestido semilargo multicolor asimétrico con estampado de lunares combados y diseño fruncido de Annorlunda,"55,00 €",lunares degradados combados,,
Wednesday's Girl Maternity,Vestido de tarde corto con diseño de flores estilo patchwork y detalle de volantes de Wednesday's Girl Maternity,"28,00 €",flores patchwork,,
Wednesday's Girl,Vestido de tarde corto con diseño de flores estilo patchwork y detalle de volantes de Wednesday's Girl,"28,00 €",flores patchwork,,
Object,Vestido midi azul abotonado con detalle de aberturas de Object,"58,00 €",provenza,,
Emory Park,Vestido largo color coñac ceñido de punto de hilos mezclados de Emory Park,"40,00 €",conac,,
ONLY,Vestido verde de corte skater y manga corta de Only,"23,99 €",mermaid,,
Annorlunda,Vestido largo multicolor con estampado de lava y ribete de círculos de malla de Annorlunda,"66,00 €",lava,,
Glamorous,Vestido de tarde corto negro con estampado de margaritas y cuello de pico de Glamorous,"31,00 €",margaritas negras,,
Glamorous Curve,Vestido de tarde corto negro con estampado de margaritas y cuello de pico de Glamorous Curve,"29,00 €",margaritas negras,,
The Frolic,Vestido corto multicolor plisado con estampado floral lavado y volantes de The Frolic,"32,50 €",floral lavado,,
Object,Vestido midi marrón de manga larga con estampado abstracto de Object,"50,50 €",humus,,
Whistles,Vestido camisero midi color cerceta con estampado de tigre y lazada en la parte delantera de Whistles,"75,50 €",tigre cerceta,,
Calvin Klein Jeans,Vestido vaquero de corte cuadrado con lavado medio y logo central de Calvin Klein Jeans,"70,00 €",denim oscuro,,
Miss Selfridge,Vestido de tarde corto con diseño patchwork de florecitas y solapas de Miss Selfridge Petite,"32,00 €",lunares estilo patchwork,,
AFRM,Vestido corto multicolor de manga larga con cuello halter de pico y aberturas laterales de AFRM,"46,50 €",jardin nocturno neon,,
AFRM,Vestido midi con cordones y estampado de florecitas de malla de AFRM,"33,50 €",jardin nocturno neon,,
Free People,Vestido azul marino y gris de tirantes con ribete de encaje de Free People,"85,00 €",combinacion jazzberry,,
Mama.licious,Vestido camisero midi caqui de Mamalicious Maternity,"41,99 €",hiedra trepadora,,
JDY,Vestido camisero verde de satén con botones de strass Klara de JDY,"21,00 €",escarabajo,,
Pieces,Vestido camisero azul marino Shia de Pieces,"32,99 €",night sky,,
Free People,Vestido corto morado de estilo bohemio con estampado floral y cuello de pico de Free People,"92,50 €",night combo,,
ONLY,Vestido azul marino a rayas de corte skater y manga corta de Only,"17,00 €",night sky,,
Rebellious Fashion,Vestido corto amplio con estampado de cebra de Rebellious Fashion,"24,99 €",cebra,,
Pieces,Vestido beis con cuello alto de punto de Pieces,"38,99 €",fossil,,
M Lounge,Vestido largo azul marino francés de tejido cálido de M Lounge,"51,50 €",french navy,,
JDY,Vestido corto gris con lazada en la cintura de punto Donsy de JDY,"24,99 €",lgm,,
ONLY,Vestido skater a rayas verdes de manga corta de Only,"23,99 €",mermaid,,
ONLY,Vestido midi turquesa con diseño a rayas de Only,"34,99 €",blarney,,
Simply Be,Vestido midi negro estampado de malla de Simply Be,"36,00 €",mixto,,
